2023-09-15T08:00:00.000Z | Course: Introduction to Statistics | Instructor: Prof. Smith | Event: Attendance | Student ID: 101 | Student Name: Emma Johnson | Status: Present | Reason: -
2023-09-15T08:02:00.000Z | Course: Introduction to Statistics | Instructor: Prof. Smith | Event: Attendance | Student ID: 102 | Student Name: Noah Wilson | Status: Present | Reason: -
2023-09-15T08:04:00.000Z | Course: Introduction to Statistics | Instructor: Prof. Smith | Event: Attendance | Student ID: 103 | Student Name: Olivia Brown | Status: Present | Reason: -
2023-09-15T08:06:00.000Z | Course: Introduction to Statistics | Instructor: Prof. Smith | Event: Attendance | Student ID: 104 | Student Name: Liam Davis | Status: Present | Reason: -
2023-09-15T08:08:00.000Z | Course: Introduction to Statistics | Instructor: Prof. Smith | Event: Attendance | Student ID: 105 | Student Name: Sophia Lee | Status: Late | Reason: Overslept
2023-09-15T08:10:00.000Z | Course: Introduction to Statistics | Instructor: Prof. Smith | Event: Attendance | Student ID: 106 | Student Name: Ethan Hall | Status: Present | Reason: -
2023-09-15T08:12:00.000Z | Course: Introduction to Statistics | Instructor: Prof. Smith | Event: Attendance | Student ID: 107 | Student Name: Mia Martin | Status: Present | Reason: -
2023-09-15T08:14:00.000Z | Course: Introduction to Statistics | Instructor: Prof. Smith | Event: Attendance | Student ID: 108 | Student Name: Benjamin Taylor | Status: Present | Reason: -
2023-09-15T08:16:00.000Z | Course: Introduction to Statistics | Instructor: Prof. Smith | Event: Attendance | Student ID: 109 | Student Name: Ava Lewis | Status: Present | Reason: -
2023-09-15T08:18:00.000Z | Course: Introduction to Statistics | Instructor: Prof. Smith | Event: Attendance | Student ID: 110 | Student Name: William Walker | Status: Late | Reason: Traffic Jam
2023-09-15T10:00:00.000Z | Course: Data Analysis Techniques | Instructor: Dr. Brown | Event: Attendance | Student ID: 111 | Student Name: Oliver Martinez | Status: Present | Reason: -
2023-09-15T10:02:00.000Z | Course: Data Analysis Techniques | Instructor: Dr. Brown | Event: Attendance | Student ID: 112 | Student Name: Charlotte Wilson | Status: Present | Reason: -
2023-09-15T10:04:00.000Z | Course: Data Analysis Techniques | Instructor: Dr. Brown | Event: Attendance | Student ID: 113 | Student Name: James Turner | Status: Late | Reason: Alarm didn't go off
2023-09-15T10:06:00.000Z | Course: Data Analysis Techniques | Instructor: Dr. Brown | Event: Attendance | Student ID: 114 | Student Name: Mia Garcia | Status: Present | Reason: -
2023-09-15T10:08:00.000Z | Course: Data Analysis Techniques | Instructor: Dr. Brown | Event: Attendance | Student ID: 115 | Student Name: Noah Harris | Status: Present | Reason: -
2023-09-15T10:10:00.000Z | Course: Data Analysis Techniques | Instructor: Dr. Brown | Event: Attendance | Student ID: 116 | Student Name: Emily Lee | Status: Present | Reason: -
2023-09-15T10:12:00.000Z | Course: Data Analysis Techniques | Instructor: Dr. Brown | Event: Attendance | Student ID: 117 | Student Name: William Hall | Status: Late | Reason: Overslept
2023-09-15T10:14:00.000Z | Course: Data Analysis Techniques | Instructor: Dr. Brown | Event: Attendance | Student ID: 118 | Student Name: Sophia White | Status: Present | Reason: -
2023-09-15T10:16:00.000Z | Course: Data Analysis Techniques | Instructor: Dr. Brown | Event: Attendance | Student ID: 119 | Student Name: Liam Johnson | Status: Present | Reason: -
2023-09-15T10:18:00.000Z | Course: Data Analysis Techniques | Instructor: Dr. Brown | Event: Attendance | Student ID: 120 | Student Name: Emma Smith | Status: Present | Reason: -
2023-09-15T12:00:00.000Z | Course: Machine Learning Fundamentals | Instructor: Prof. Davis | Event: Attendance | Student ID: 121 | Student Name: Benjamin Wilson | Status: Present | Reason: -
2023-09-15T12:02:00.000Z | Course: Machine Learning Fundamentals | Instructor: Prof. Davis | Event: Attendance | Student ID: 122 | Student Name: Charlotte Davis | Status: Present | Reason: -
2023-09-15T12:04:00.000Z | Course: Machine Learning Fundamentals | Instructor: Prof. Davis | Event: Attendance | Student ID: 123 | Student Name: Sophia Lee | Status: Late | Reason: Traffic delays
2023-09-15T12:06:00.000Z | Course: Machine Learning Fundamentals | Instructor: Prof. Davis | Event: Attendance | Student ID: 124 | Student Name: Oliver Garcia | Status: Absent | Reason: Illness
2023-09-15T12:08:00.000Z | Course: Machine Learning Fundamentals | Instructor: Prof. Davis | Event: Attendance | Student ID: 125 | Student Name: Mia Harris | Status: Absent | Reason: Family emergency
2023-09-15T12:10:00.000Z | Course: Machine Learning Fundamentals | Instructor: Prof. Davis | Event: Attendance | Student ID: 126 | Student Name: Noah Smith | Status: Present | Reason: -
2023-09-15T12:12:00.000Z | Course: Machine Learning Fundamentals | Instructor: Prof. Davis | Event: Attendance | Student ID: 127 | Student Name: Liam Johnson | Status: Present | Reason: -
2023-09-15T12:14:00.000Z | Course: Machine Learning Fundamentals | Instructor: Prof. Davis | Event: Attendance | Student ID: 128 | Student Name: Emily Martinez | Status: Late | Reason: Overslept
2023-09-15T12:16:00.000Z | Course: Machine Learning Fundamentals | Instructor: Prof. Davis | Event: Attendance | Student ID: 129 | Student Name: William White | Status: Present | Reason: -
2023-09-15T12:18:00.000Z | Course: Machine Learning Fundamentals | Instructor: Prof. Davis | Event: Attendance | Student ID: 130 | Student Name: Ava Taylor | Status: Present | Reason: -
2023-09-15T08:00:00.000Z | Course: Advanced Data Visualization | Instructor: Prof. Walker | Event: Attendance | Student ID: 131 | Student Name: Mia Turner | Status: Present | Reason: -
2023-09-15T08:02:00.000Z | Course: Advanced Data Visualization | Instructor: Prof. Walker | Event: Attendance | Student ID: 132 | Student Name: Oliver Wilson | Status: Present | Reason: -
2023-09-15T08:04:00.000Z | Course: Advanced Data Visualization | Instructor: Prof. Walker | Event: Attendance | Student ID: 133 | Student Name: Sophia Turner | Status: Late | Reason: Overslept
2023-09-15T08:06:00.000Z | Course: Advanced Data Visualization | Instructor: Prof. Walker | Event: Attendance | Student ID: 134 | Student Name: Noah White | Status: Present | Reason: -
2023-09-15T08:08:00.000Z | Course: Advanced Data Visualization | Instructor: Prof. Walker | Event: Attendance | Student ID: 135 | Student Name: Emma Turner | Status: Present | Reason: -
2023-09-15T08:10:00.000Z | Course: Advanced Data Visualization | Instructor: Prof. Walker | Event: Attendance | Student ID: 136 | Student Name: William Martinez | Status: Late | Reason: Traffic Jam
2023-09-15T08:12:00.000Z | Course: Advanced Data Visualization | Instructor: Prof. Walker | Event: Attendance | Student ID: 137 | Student Name: Charlotte Hall | Status: Present | Reason: -
2023-09-15T08:14:00.000Z | Course: Advanced Data Visualization | Instructor: Prof. Walker | Event: Attendance | Student ID: 138 | Student Name: Benjamin White | Status: Present | Reason: -
2023-09-15T08:16:00.000Z | Course: Advanced Data Visualization | Instructor: Prof. Walker | Event: Attendance | Student ID: 139 | Student Name: Emily Martinez | Status: Present | Reason: -
2023-09-15T08:18:00.000Z | Course: Advanced Data Visualization | Instructor: Prof. Walker | Event: Attendance | Student ID: 140 | Student Name: Liam Wilson | Status: Late | Reason: Overslept
2023-09-15T10:00:00.000Z | Course: Business Analytics | Instructor: Dr. Turner | Event: Attendance | Student ID: 141 | Student Name: Noah Hall | Status: Present | Reason: -
2023-09-15T10:02:00.000Z | Course: Business Analytics | Instructor: Dr. Turner | Event: Attendance | Student ID: 142 | Student Name: Sophia Garcia | Status: Late | Reason: Alarm didn't go off
2023-09-15T10:04:00.000Z | Course: Business Analytics | Instructor: Dr. Turner | Event: Attendance | Student ID: 143 | Student Name: William Taylor | Status: Present | Reason: -
2023-09-15T10:06:00.000Z | Course: Business Analytics | Instructor: Dr. Turner | Event: Attendance | Student ID: 144 | Student Name: Emily Turner | Status: Present | Reason: -
2023-09-15T10:08:00.000Z | Course: Business Analytics | Instructor: Dr. Turner | Event: Attendance | Student ID: 145 | Student Name: Ava Garcia | Status: Present | Reason: -
2023-09-15T10:10:00.000Z | Course: Business Analytics | Instructor: Dr. Turner | Event: Attendance | Student ID: 146 | Student Name: Benjamin Harris | Status: Present | Reason: -
2023-09-15T10:12:00.000Z | Course: Business Analytics | Instructor: Dr. Turner | Event: Attendance | Student ID: 147 | Student Name: Mia Davis | Status: Present | Reason: -
2023-09-15T10:14:00.000Z | Course: Business Analytics | Instructor: Dr. Turner | Event: Attendance | Student ID: 148 | Student Name: Oliver Wilson | Status: Late | Reason: Overslept
2023-09-15T10:16:00.000Z | Course: Business Analytics | Instructor: Dr. Turner | Event: Attendance | Student ID: 149 | Student Name: Charlotte Taylor | Status: Present | Reason: -
2023-09-15T10:18:00.000Z | Course: Business Analytics | Instructor: Dr. Turner | Event: Attendance | Student ID: 150 | Student Name: Liam Davis | Status: Late | Reason: Traffic delays
2023-09-15T12:00:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 151 | Student Name: Olivia Harris | Status: Present | Reason: -
2023-09-15T12:02:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 152 | Student Name: Benjamin Turner | Status: Late | Reason: Alarm didn't go off
2023-09-15T12:04:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 153 | Student Name: Ava Harris | Status: Present | Reason: -
2023-09-15T12:06:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 154 | Student Name: Noah Davis | Status: Present | Reason: -
2023-09-15T12:08:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 155 | Student Name: Charlotte Taylor | Status: Present | Reason: -
2023-09-15T12:10:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 156 | Student Name: William Turner | Status: Late | Reason: Traffic delays
2023-09-15T12:12:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 157 | Student Name: Sophia Harris | Status: Present | Reason: -
2023-09-15T12:14:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 158 | Student Name: Oliver Turner | Status: Late | Reason: Overslept
2023-09-15T12:16:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 159 | Student Name: Mia Davis | Status: Present | Reason: -
2023-09-15T12:18:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 160 | Student Name: Liam Taylor | Status: Late | Reason: Overslept
2023-09-15T12:20:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 161 | Student Name: Emma Harris | Status: Present | Reason: -
2023-09-15T12:22:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 162 | Student Name: William Davis | Status: Present | Reason: -
2023-09-15T12:24:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 163 | Student Name: Olivia Taylor | Status: Late | Reason: Traffic Jam
2023-09-15T12:26:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 164 | Student Name: Benjamin Harris | Status: Present | Reason: -
2023-09-15T12:28:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 165 | Student Name: Ava Davis | Status: Late | Reason: Overslept
2023-09-15T12:30:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 166 | Student Name: Sophia Turner | Status: Present | Reason: -
2023-09-15T12:32:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 167 | Student Name: Noah Harris | Status: Present | Reason: -
2023-09-15T12:34:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 168 | Student Name: Charlotte Davis | Status: Present | Reason: -
2023-09-15T12:36:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 169 | Student Name: Oliver Taylor | Status: Late | Reason: Alarm didn't go off
2023-09-15T12:38:00.000Z | Course: Data Science Fundamentals | Instructor: Prof. Martinez | Event: Attendance | Student ID: 170 | Student Name: Mia Harris | Status: Present | Reason: -
2023-09-15T10:00:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 171 | Student Name: Ethan Turner | Status: Present | Reason: -
2023-09-15T10:02:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 172 | Student Name: Mia Davis | Status: Present | Reason: -
2023-09-15T10:04:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 173 | Student Name: Olivia Harris | Status: Present | Reason: -
2023-09-15T10:06:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 174 | Student Name: William Taylor | Status: Late | Reason: Alarm didn't go off
2023-09-15T10:08:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 175 | Student Name: Charlotte Davis | Status: Present | Reason: -
2023-09-15T10:10:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 176 | Student Name: Noah Harris | Status: Late | Reason: Traffic delays
2023-09-15T10:12:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 177 | Student Name: Ava Harris | Status: Present | Reason: -
2023-09-15T10:14:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 178 | Student Name: Benjamin Turner | Status: Present | Reason: -
2023-09-15T10:16:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 179 | Student Name: Sophia Turner | Status: Present | Reason: -
2023-09-15T10:18:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 180 | Student Name: Liam Taylor | Status: Late | Reason: Overslept
2023-09-15T10:20:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 181 | Student Name: Emma Harris | Status: Present | Reason: -
2023-09-15T10:22:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 182 | Student Name: Olivia Taylor | Status: Late | Reason: Alarm didn't go off
2023-09-15T10:24:00.000Z | Course: Advanced Data Analysis | Instructor: Dr. Rodriguez | Event: Attendance | Student ID: 183 | Student Name: Benjamin Harris | Status: Present | Reason: -
